family,label,cutoff_eV,kmesh,vacuum_A,spinpol,energy_eV
cutoff,150,150,1x1x1,12.0,False,-9.954667317578
cutoff,250,250,1x1x1,12.0,False,-52.554960853428
cutoff,350,350,1x1x1,12.0,False,-63.439445201602
kmesh,1x1x1,250,1x1x1,12.0,False,-52.554960853428
kmesh,2x2x1,250,2x2x1,12.0,False,-61.136436670413
kmesh,3x3x1,250,3x3x1,12.0,False,-60.934674325568
vacuum,10.0,250,1x1x1,10.0,False,-52.091381249578
vacuum,15.0,250,1x1x1,15.0,False,-52.384033544891
vacuum,20.0,250,1x1x1,20.0,False,-52.130281275265
spin,False,250,1x1x1,15.0,False,-52.384033544891
spin,True,250,1x1x1,15.0,True,-52.384033544895
