      Step     Time          Energy          fmax
BFGS:    0 22:31:23     -199.419839        8.392804
BFGS:    1 22:31:58     -200.630644        2.276308
BFGS:    2 22:32:41     -201.023802        1.550233
BFGS:    3 22:33:22     -201.375500        1.930175
BFGS:    4 22:33:56     -201.723134        2.205685
BFGS:    5 22:34:32     -202.075836        3.433820
BFGS:    6 22:35:02     -202.497314        2.719580
BFGS:    7 22:35:32     -203.020534        1.855285
BFGS:    8 22:36:05     -203.387701        1.536710
BFGS:    9 22:36:35     -203.544898        1.550538
