      Step     Time          Energy          fmax
BFGS:    0 20:13:57     -262.968600        2.850145
BFGS:    1 20:14:27     -263.436951        1.847734
BFGS:    2 20:14:53     -263.783283        1.716827
BFGS:    3 20:15:27     -264.351229        2.458938
BFGS:    4 20:15:55     -264.633453        2.028351
BFGS:    5 20:16:26     -265.021573        1.140058
BFGS:    6 20:16:49     -265.098370        0.615031
BFGS:    7 20:17:11     -265.165940        0.558940
BFGS:    8 20:17:33     -265.216925        0.645524
BFGS:    9 20:17:53     -265.248675        0.319008
BFGS:   10 20:18:12     -265.265224        0.288036
BFGS:   11 20:18:30     -265.273124        0.208258
BFGS:   12 20:18:43     -265.276363        0.163885
