campaign_id,stage,sac_id,adsorbate,support,input_structure,required_checks,status
bare_Au@MoS2_Svac,bare_SAC_optimisation,Au@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Au@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Co@MoS2_Svac,bare_SAC_optimisation,Co@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Co@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Cu@MoS2_Svac,bare_SAC_optimisation,Cu@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Cu@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Fe@MoS2_Svac,bare_SAC_optimisation,Fe@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Fe@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Ni@MoS2_Svac,bare_SAC_optimisation,Ni@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Ni@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Pd@MoS2_Svac,bare_SAC_optimisation,Pd@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Pd@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Pt@MoS2_Svac,bare_SAC_optimisation,Pt@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Pt@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Rh@MoS2_Svac,bare_SAC_optimisation,Rh@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Rh@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Ru@MoS2_Svac,bare_SAC_optimisation,Ru@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Ru@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Zn@MoS2_Svac,bare_SAC_optimisation,Zn@MoS2_Svac,none,MoS2_Svac,structures/initial/ase_generated/MoS2_Svac/Zn@MoS2_Svac.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Au@gC3N4_N4,bare_SAC_optimisation,Au@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Au@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Co@gC3N4_N4,bare_SAC_optimisation,Co@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Co@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Cu@gC3N4_N4,bare_SAC_optimisation,Cu@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Cu@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Fe@gC3N4_N4,bare_SAC_optimisation,Fe@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Fe@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Ni@gC3N4_N4,bare_SAC_optimisation,Ni@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Ni@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
