## nitrate electroreduction ammonia DFT
	10.1021/acs.jpcc.3c00785.s001		PdMoCu Trimetallenes for Nitrate Electroreduction to Ammonia
	10.1021/acsanm.5c05668.s001		NiCoP4O12 Nanosheets for Electroreduction of Nitrate to Ammonia
	10.1021/acsami.4c14621.s001		Amorphous Ni3B Promotes Electroreduction of Nitrate to Ammonia
	10.1021/acs.langmuir.5c06053.s001		CoCuSiB Nanocrystalline for Efficient Nitrate-to-Ammonia Electroreduction
	10.1021/acsami.1c12512.s001		Efficient Nitrate-to-Ammonia Electroreduction at Cobalt Phosphide Nanoshuttles
	10.1021/acsami.1c19412.s001		Electroreduction of Nitrate to Ammonia on PalladiumCobaltOxygen Nanowire Arrays
	10.1021/acsnano.3c05946.s001		Ampere-Level Nitrate Electroreduction to Ammonia over Monodispersed Bi-Doped FeS2
	10.1021/acs.jpclett.2c02452.s001		Predictive Theoretical Model for the Selective Electroreduction of Nitrate to Ammonia
	10.1021/acscatal.4c03336.s001		Dynamically Restructuring Nanoporous CuCo Electrocatalyst for Efficient Nitrate Electroreduction to Ammonia
2025	10.1039/d5cy01336d/v1/review3		Review for "pH-dependent Electrolyte Manipulation in Nitrate Electroreduction to Ammonia"

## single atom catalyst nitrate reduction
	10.1021/acs.est.2c07968.s001		Electrocatalytic Reduction of Nitrate to Ammonia via a Au/Cu Single Atom Alloy Catalyst
2025	10.1039/d5cp00117j/v1/review3		Review for "Theoretical exploration of single‑atom catalyst anchored on β12-borophene for electrochemical nitrate reduction: catalyst screening and mechanistic insight"
2025	10.1039/d5cp00117j/v1/review2		Review for "Theoretical exploration of single‑atom catalyst anchored on β12-borophene for electrochemical nitrate reduction: catalyst screening and mechanistic insight"
2025	10.1039/d5cp00117j/v2/review1		Review for "Theoretical exploration of single‑atom catalyst anchored on β12-borophene for electrochemical nitrate reduction: catalyst screening and mechanistic insight"
2025	10.1039/d5cp00117j/v2/review2		Review for "Theoretical exploration of single‑atom catalyst anchored on β12-borophene for electrochemical nitrate reduction: catalyst screening and mechanistic insight"
2025	10.1039/d5cp00117j/v1/review1		Review for "Theoretical exploration of single‑atom catalyst anchored on β12-borophene for electrochemical nitrate reduction: catalyst screening and mechanistic insight"
	10.1021/jacs.6c00705.s001		Operando Cu Aggregation-Induced Spin State Modulation in FeCu Single Atom Catalyst for Enhanced Tandem Electrochemical Nitrate Reduction Reaction
	10.1021/acs.est.4c14011.s001		One-Step Strategy to Maximize Single-Atom Catalyst Utilization in Nitrate Reduction via Bidirectional Optimization of Mass Transfer and Electron Supply
	10.1021/acsestengg.5c00749.s001		Transition-Metal Single-Atom Alloy Electrocatalysts for Nitrate Reduction
2025	10.1039/d5cp00117j/v1/decision1		Decision letter for "Theoretical exploration of single‑atom catalyst anchored on β12-borophene for electrochemical nitrate reduction: catalyst screening and mechanistic insight"

## computational hydrogen electrode electrocatalysis
2020	10.1007/978-3-319-44680-6_9	Handbook of Materials Modeling	Electrocatalysis Beyond the Computational Hydrogen Electrode
2018	10.1007/978-3-319-50257-1_9-1	Handbook of Materials Modeling	Electrocatalysis Beyond the Computational Hydrogen Electrode
2010	10.1201/9781420045451-27	Electrocatalysis: Computational, Experimental, and Industrial Aspects	Electrode Modiﬁcation: Application in Organic Electrocatalysis
	10.31274/rtd-180813-13051		Development of novel electrode materials for the electrocatalysis of oxygen-transfer and hydrogen-transfer reactions
2010	10.1201/9781420045451-c21	Surfactant Science Electrocatalysis	Electrode Modification
2010	10.1201/9781420045451-16	Electrocatalysis: Computational, Experimental, and Industrial Aspects	Problem of Surface Relaxation and Atom Rearrangement on Electrode Surfaces
