DOI,topic
10.1038/s41467-021-23115-x,nitrate reduction Fe SAC
10.1038/s41467-022-35664-w,nitrate reduction active hydrogen
10.1002/smll.202403515,nitrate SAC review
10.1039/D6CC02642G,nitrate reduction bimetallic sites
10.1021/acs.jpclett.1c00855,nitrate reduction 2D h-BP
10.1021/acs.jpca.5c07719,nitrate reduction g-C2N
10.1038/s42004-025-01579-y,grand canonical nitrate
10.1021/acs.jpcc.3c02224,implicit solvation SAC
10.1021/acs.jpcc.5c02461,nitrate reduction Cu theory
10.1038/s41467-023-40174-4,atomically dispersed M-N-C nitrate
10.1021/acscatal.9b02179,nitrate reduction trends microkinetics
10.1021/acs.jpcc.3c00785,PdMoCu nitrate reduction
10.1021/acsami.1c12512,cobalt phosphide nitrate reduction
10.1021/acsami.1c19412,palladium cobalt nitrate reduction
10.1021/acsnano.3c05946,Bi-doped FeS2 nitrate reduction
10.1021/acs.jpclett.2c02452,nitrate ammonia predictive model
10.1021/acscatal.4c03336,CuCo nitrate reduction
10.1021/acs.est.2c07968,Au Cu single atom alloy nitrate
10.1021/jacs.6c00705,FeCu single atom nitrate
10.1021/acs.est.4c14011,nitrate single atom utilisation
10.1021/acsestengg.5c00749,single atom alloy nitrate
10.1021/acs.jctc.5b00949,periodic implicit solvation
10.1021/acs.jpcc.8b10046,constant potential implicit solvation
10.1021/acs.jpclett.0c00676,2D SAC descriptor design
10.1021/acscatal.5c00199,grand canonical 2D SAC modelling
10.1016/bs.adomc.2019.01.002,graphene single atom coordination
10.1038/nchem.121,computational catalyst design
10.1021/jp047349j,computational hydrogen electrode
10.1021/acscatal.0c02388,2D single atom catalyst review
