DOI,topic,status,title,journal,year,authors
10.1038/s41467-021-23115-x,nitrate reduction Fe SAC,200,Electrochemical ammonia synthesis via nitrate reduction on Fe single atom catalyst,Nature Communications,2021,Wu Zhen-Yu; Karamad Mohammadreza; Yong Xue; Huang Qizheng
10.1038/s41467-022-35664-w,nitrate reduction active hydrogen,200,Active hydrogen boosts electrochemical nitrate reduction to ammonia,Nature Communications,2022,Fan Kui; Xie Wenfu; Li Jinze; Sun Yining
10.1002/smll.202403515,nitrate SAC review,200,Single Atom Catalyst for Nitrate‐to‐Ammonia Electrochemistry,Small,2024,Subhadarshini Suvani; Pumera Martin
10.1039/D6CC02642G,nitrate reduction bimetallic sites,200,"Electrocatalytic nitrate reduction to ammonia: bimetallic-site catalysts, mechanistic insights, and performance optimization",Chemical Communications,2026,Wu Xiaoyu; Ma Jun; Geng Shuo
10.1021/acs.jpclett.1c00855,nitrate reduction 2D h-BP,200,Theoretical Exploration of Electrochemical Nitrate Reduction Reaction Activities on Transition-Metal-Doped <i>h</i>-BP,The Journal of Physical Chemistry Letters,2021,Wu Jie; Li Jia-Hui; Yu Yang-Xin
10.1021/acs.jpca.5c07719,nitrate reduction g-C2N,200,Theoretical Insights into Electrocatalytic Reduction of Nitrates to Ammonia on g-C                     <sub>2</sub>                     N Monolayer-Supported Single Nonmetal Atoms,The Journal of Physical Chemistry A,2026,Zhang Hongyuan; Yang Zefei; Dai Qingliang; Hu Shugang
10.1038/s42004-025-01579-y,grand canonical nitrate,200,A grand canonical study of the potential dependence of nitrate adsorption and dissociation across metals and dilute alloys,Communications Chemistry,2025,Sweeney Dean M.; Tran Bolton; Goldsmith Bryan R.
10.1021/acs.jpcc.3c02224,implicit solvation SAC,200,Oxygen Reduction Reaction on Single-Atom Catalysts From Density Functional Theory Calculations Combined with an Implicit Solvation Model,The Journal of Physical Chemistry C,2023,Abidin Azim Fitri Zainul; Hamada Ikutaro
10.1021/acs.jpcc.5c02461,nitrate reduction Cu theory,200,New Insights into the Electrochemical Nitrate Reduction Reaction on Cu(111) from Theoretical Calculations,The Journal of Physical Chemistry C,2025,Priyadarsini Adyasa; Kattel Shyam
10.1038/s41467-023-40174-4,atomically dispersed M-N-C nitrate,200,Elucidating electrochemical nitrate and nitrite reduction over atomically-dispersed transition metal sites,Nature Communications,2023,Murphy Eamonn; Liu Yuanchao; Matanovic Ivana; Rüscher Martina
10.1021/acscatal.9b02179,nitrate reduction trends microkinetics,200,Activity and Selectivity Trends in Electrocatalytic Nitrate Reduction on Transition Metals,ACS Catalysis,2019,Liu Jin-Xun; Richards Danielle; Singh Nirala; Goldsmith Bryan R.
10.1021/acs.jpcc.3c00785,PdMoCu nitrate reduction,200,PdMoCu Trimetallenes for Nitrate Electroreduction to Ammonia,The Journal of Physical Chemistry C,2023,Tong Xinjie; Zhang Ziwei; Fang Zhongying; Guo Jinhan
10.1021/acsami.1c12512,cobalt phosphide nitrate reduction,200,Efficient Nitrate-to-Ammonia Electroreduction at Cobalt Phosphide Nanoshuttles,ACS Applied Materials &amp; Interfaces,2021,Jia Yi; Ji Yi-Gang; Xue Qi; Li Fu-Min
10.1021/acsami.1c19412,palladium cobalt nitrate reduction,200,Electroreduction of Nitrate to Ammonia on Palladium–Cobalt–Oxygen Nanowire Arrays,ACS Applied Materials &amp; Interfaces,2022,Liu Min; Mao Qiqi; Shi Keke; Wang Ziqiang
10.1021/acsnano.3c05946,Bi-doped FeS2 nitrate reduction,200,Ampere-Level Nitrate Electroreduction to Ammonia over Monodispersed Bi-Doped FeS                     <sub>2</sub>,ACS Nano,2023,Zhang Guike; Wang Guohui; Wan Yuying; Liu Xijun
10.1021/acs.jpclett.2c02452,nitrate ammonia predictive model,200,Predictive Theoretical Model for the Selective Electroreduction of Nitrate to Ammonia,The Journal of Physical Chemistry Letters,2022,Mou Tong; Wang Yuting; Deák Peter; Li Huan
10.1021/acscatal.4c03336,CuCo nitrate reduction,200,Dynamically Restructuring Nanoporous Cu–Co Electrocatalyst for Efficient Nitrate Electroreduction to Ammonia,ACS Catalysis,2024,Zhou Xue; Xu Wence; Liang Yanqin; Jiang Hui
10.1021/acs.est.2c07968,Au Cu single atom alloy nitrate,200,Electrocatalytic Reduction of Nitrate to Ammonia via a Au/Cu Single Atom Alloy Catalyst,Environmental Science &amp; Technology,2023,Yin Haibo; Peng Yue; Li Junhua
10.1021/jacs.6c00705,FeCu single atom nitrate,200,Operando Cu Aggregation-Induced Spin State Modulation in Fe–Cu Single Atom Catalyst for Enhanced Tandem Electrochemical Nitrate Reduction Reaction,Journal of the American Chemical Society,2026,Hong Seongin; Jeong Jaewoo; Yoo Euichan; Shin Dongwoo
10.1021/acs.est.4c14011,nitrate single atom utilisation,200,One-Step Strategy to Maximize Single-Atom Catalyst Utilization in Nitrate Reduction via Bidirectional Optimization of Mass Transfer and Electron Supply,Environmental Science &amp; Technology,2025,Long Xianhu; Huang Fan; Zhong Tao; Zhao Huinan
10.1021/acsestengg.5c00749,single atom alloy nitrate,200,Transition-Metal Single-Atom Alloy Electrocatalysts for Nitrate Reduction,ACS ES&amp;T Engineering,2025,Rivera Daniel J.; Marrlett Laura; Schroeder Jay; Muhich Christopher L.
10.1021/acs.jctc.5b00949,periodic implicit solvation,200,Multigrid-Based Methodology for Implicit Solvation Models in Periodic DFT,Journal of Chemical Theory and Computation,2016,Garcia-Ratés Miquel; López Núria
10.1021/acs.jpcc.8b10046,constant potential implicit solvation,200,Assessment of Constant-Potential Implicit Solvation Calculations of Electrochemical Energy Barriers for H                     <sub>2</sub>                     Evolution on Pt,The Journal of Physical Chemistry C,2019,Van den Bossche Maxime; Skúlason Egill; Rose-Petruck Christoph; Jónsson Hannes
10.1021/acs.jpclett.0c00676,2D SAC descriptor design,200,Descriptor-Based Design Principle for Two-Dimensional Single-Atom Catalysts: Carbon Dioxide Electroreduction,The Journal of Physical Chemistry Letters,2020,Yuan Hao; Li Zhenyu; Zeng Xiao Cheng; Yang Jinlong
10.1021/acscatal.5c00199,grand canonical 2D SAC modelling,200,Optimal Solution for Modeling Electrocatalysis on Two-Dimensional Single-Atom Catalysts with Grand Canonical DFT,ACS Catalysis,2025,Liu Zhen; Sun Yi-Fan; Wang Yun-Shu; Zhang Wei
10.1016/bs.adomc.2019.01.002,graphene single atom coordination,200,Surface coordination chemistry on graphene and two-dimensional carbon materials for well-defined single atom supported catalysts,Advances in Organometallic Chemistry,2019,
10.1038/nchem.121,computational catalyst design,200,Towards the computational design of solid catalysts,Nature Chemistry,2009,Nørskov J. K.; Bligaard T.; Rossmeisl J.; Christensen C. H.
10.1021/jp047349j,computational hydrogen electrode,200,Origin of the Overpotential for Oxygen Reduction at a Fuel-Cell Cathode,The Journal of Physical Chemistry B,2004,Nørskov J. K.; Rossmeisl J.; Logadottir A.; Lindqvist L.
