DOI,csv_title,status,crossref_title,year,journal,type
10.1038/s41467-021-23115-x,Electrochemical ammonia synthesis via nitrate reduction on Fe single atom catalyst,200,Electrochemical ammonia synthesis via nitrate reduction on Fe single atom catalyst,2021,Nature Communications,journal-article
10.1038/s41467-022-35664-w,Active hydrogen boosts electrochemical nitrate reduction to ammonia,200,Active hydrogen boosts electrochemical nitrate reduction to ammonia,2022,Nature Communications,journal-article
10.1002/smll.202403515,Single Atom Catalyst for Nitrate-to-Ammonia Electrochemistry,200,Single Atom Catalyst for Nitrate‐to‐Ammonia Electrochemistry,2025,Small,journal-article
10.1039/D6CC02642G,Electrocatalytic nitrate reduction to ammonia: bimetallic-site engineering for enhanced activity and selectivity,200,"Electrocatalytic nitrate reduction to ammonia: bimetallic-site catalysts, mechanistic insights, and performance optimization",2026,Chemical Communications,journal-article
10.1021/acs.jpclett.1c00855,Theoretical Exploration of Electrochemical Nitrate Reduction Reaction Activities on Transition-Metal-Doped h-BP,200,Theoretical Exploration of Electrochemical Nitrate Reduction Reaction Activities on Transition-Metal-Doped <i>h</i>-BP,2021,The Journal of Physical Chemistry Letters,journal-article
10.1021/acs.jpca.5c07719,Theoretical Insights into Electrocatalytic Reduction of Nitrates to Ammonia on gC2N Monolayer-Supported Single Nonmetal Atoms,200,"Theoretical Insights into Electrocatalytic Reduction of Nitrates to Ammonia on g-C
                    <sub>2</sub>
                    N Monolayer-Supported Single Nonmetal Atoms",2026,The Journal of Physical Chemistry A,journal-article
10.1038/s42004-025-01579-y,A grand canonical study of the potential dependence of nitrate adsorption and dissociation across metals and dilute alloys,200,A grand canonical study of the potential dependence of nitrate adsorption and dissociation across metals and dilute alloys,2025,Communications Chemistry,journal-article
10.1021/acs.jpcc.3c02224,Oxygen reduction reaction on single-atom catalysts from density functional theory calculations combined with an implicit solvation model,200,Oxygen Reduction Reaction on Single-Atom Catalysts From Density Functional Theory Calculations Combined with an Implicit Solvation Model,2023,The Journal of Physical Chemistry C,journal-article
10.1021/acs.jpcc.5c02461,New Insights into the Electrochemical Nitrate Reduction,200,New Insights into the Electrochemical Nitrate Reduction Reaction on Cu(111) from Theoretical Calculations,2025,The Journal of Physical Chemistry C,journal-article
10.1021/acsenergylett.2c01975,Theoretical insights into superior nitrate reduction to ammonia performance of copper catalysts,404,,,,
