DOI,Title,Authors,Year,Journal,System,Functional,BasisSet,SolventModel,KeyFindings,ExperimentalValidation
10.1038/s41467-021-23115-x,Electrochemical ammonia synthesis via nitrate reduction on Fe single atom catalyst,"Wu et al.",2021,Nature Communications,Fe single atoms on porous N-doped carbon,NR,NR,NR,"Fe SAC favours nitrate-to-ammonia chemistry; DFT identifies NO* to HNO* and HNO* to N* as potential-limiting steps; isolated sites suppress N-N coupling.",Yes
10.1038/s41467-022-35664-w,Active hydrogen boosts electrochemical nitrate reduction to ammonia,"Fan et al.",2022,Nature Communications,CoP on carbon nanosheet arrays,NR,NR,Implicit/explicit discussion,"Active hydrogen supply and consumption can control nitrate-reduction rate and selectivity; DFT is combined with spectroscopy and isotope evidence.",Yes
10.1002/smll.202403515,Single Atom Catalyst for Nitrate-to-Ammonia Electrochemistry,"Subhadarshini and Pumera",2024,Small,Transition-metal SACs on graphene-like carbon and related supports,NR,NR,NR,"Review of nitrate adsorption, metal identity, coordinating atoms, potential-dependent stability, and single/dual-atom effects; identifies stability, adsorption, activity, and selectivity as coupled screening criteria.",Review
10.1039/D6CC02642G,Electrocatalytic nitrate reduction to ammonia: bimetallic-site engineering for enhanced activity and selectivity,"NR",2026,Chemical Communications,Ni/Ru bimetallic nitrate-reduction sites,NR,NR,NR,"Recent example of d-band tuning and intermediate adsorption optimisation in nitrate-to-ammonia catalysis.",NR
10.1021/acs.jpclett.1c00855,Theoretical Exploration of Electrochemical Nitrate Reduction Reaction Activities on Transition-Metal-Doped h-BP,"NR",2021,The Journal of Physical Chemistry Letters,Transition-metal-doped hexagonal boron phosphide,NR,NR,NR,"Theoretical screening of doped 2D materials for nitrate reduction; reports limiting-potential analysis.",NR
10.1021/acs.jpca.5c07719,Theoretical Insights into Electrocatalytic Reduction of Nitrates to Ammonia on gC2N Monolayer-Supported Single Nonmetal Atoms,"NR",2025,The Journal of Physical Chemistry A,gC2N-supported isolated active sites,NR,NR,NR,"Examines nitrate-to-ammonia pathways on a 2D carbon-nitrogen support and illustrates the expanding design space beyond transition-metal SACs.",NR
10.1038/s42004-025-01579-y,A grand canonical study of the potential dependence of nitrate adsorption and dissociation across metals and dilute alloys,"Sweeney, Tran, and Goldsmith",2025,Communications Chemistry,Metals and Cu-based single-atom alloys,NR,Implicit solvation with grand-canonical DFT,"Nitrate adsorption and dissociation can depend on applied potential; grand-canonical approaches can differ materially from canonical DFT plus CHE approximations.",NR
10.1021/acs.jpcc.3c02224,Oxygen reduction reaction on single-atom catalysts from density functional theory calculations combined with an implicit solvation model,"NR",2023,The Journal of Physical Chemistry C,Single-atom catalysts with implicit solvation,NR,Implicit solvation,"Methodological precedent for combining SAC calculations with implicit solvent models; relevant to solvent-model benchmarking even though the reaction is ORR.",NR
10.1021/acs.jpcc.5c02461,New Insights into the Electrochemical Nitrate Reduction,"Priyadarsini et al.",2025,The Journal of Physical Chemistry C,Nitrate-reduction electrocatalysis,NR,NR,"Reports that CHE-based energetics can overestimate free-energy changes for electrochemical nitrate-reduction steps, motivating explicit validation of electrochemical approximations.",NR
10.1021/acsenergylett.2c01975,Theoretical insights into superior nitrate reduction to ammonia performance of copper catalysts,"NR",2022,ACS Energy Letters,Cu nitrate-reduction catalysts,NR,Implicit solvation,"Shows the importance of solvation-aware DFT analysis for nitrate-to-ammonia energetics on Cu-based catalysts.",NR
